"Var1","Var2","Correlation","Strength"
"aug_hsf","july_water_max",-0.850332042706357,"High"
"july_msf","aug_water_mean",-0.849743260217429,"High"
"aug_air_mean","june_air_mean",0.848904409014688,"High"
"june_water_range","june_water_max",0.848698313693216,"High"
"july_water_mean","june_water_mean",0.844826679063652,"High"
"july_msf","july_water_air",-0.841826266812652,"High"
"july_scp","aug_water_mean",-0.839360805133969,"High"
"aug_msf","july_water_mean",-0.837291300152135,"High"
"june_scp","aug_water_mean",-0.837268727410252,"High"
"june_msf","aug_water_mean",-0.836003996982908,"High"
"july_water_range","july_water_max",0.833763621771573,"High"
"june_water_max","aug_air_mean",0.832606730331979,"High"
"aug_scp","aug_water_mean",-0.832518019043383,"High"
"june_hsf","july_water_max",-0.832389116305973,"High"
"july_scp","area",-0.832274314538596,"High"
"aug_air_max","june_air_max",0.827645347893683,"High"
"mean_season_ph","imp_100",-0.826910239409152,"High"
"july_water_max","aug_air_mean",0.826617152045588,"High"
"aug_hsf","july_water_mean",-0.825833144899272,"High"
"veg_mean_cover_july","july_air_min",-0.825830918868701,"High"
"aug_hsf","aug_water_mean",-0.824293158701189,"High"
"july_water_min","july_water_mean",0.822615417208062,"High"
"june_msf","july_water_air",-0.822324105445116,"High"
"july_msf","july_water_mean",-0.821715623826811,"High"
"aug_air_mean","june_water_mean",0.819653436685501,"High"
"june_msf","july_water_mean",-0.818632229068907,"High"
"veg_mean_cover","july_air_min",-0.817709967333114,"High"
"july_water_min","july_water_air",0.817439610930708,"High"
"june_sei","aug_msd",0.814519993888635,"High"
"july_hsf","july_water_max",-0.813971671514602,"High"
"aug_hsf","july_water_air",-0.810429214042778,"High"
"aug_water_min","july_water_min",0.809798006235614,"High"
"aug_msd","aug_water_max",-0.806943477008956,"High"
"july_water_max","july_air_mean",0.806583807762434,"High"
"mean_season_ph","imp_50",-0.805874461374059,"High"
"june_scp","area",-0.804924564417546,"High"
"aug_msf","june_water_air",-0.804837037966807,"High"
"june_sei","aug_msf",0.801954840560441,"High"
"july_water_max","aug_water_mean",0.800460965546712,"High"
"june_sei","july_msd",0.800364138056379,"High"
