pond_id,area,depth_1,storage_proxy_m3,daily_loss_est,total_depth_loss_cm,total_volume_lost_m3,mean_daily_volume_lost_m3,z_loss_rate,z_total_loss,imp_50,imp_100,canopy_50,canopy_100,june_air_mean,june_water_mean,june_water_air,july_air_mean,july_water_mean,july_water_air,aug_air_mean,aug_water_mean,aug_water_air,june_air_min,june_air_max,june_air_range,july_air_min,july_air_max,july_air_range,aug_air_min,aug_air_max,aug_air_range,av_hrs_air_june_mintomax,av_hrs_air_july_mintomax,av_hrs_air_aug_mintomax,june_water_min,june_water_max,june_water_range,july_water_min,july_water_max,july_water_range,aug_water_min,aug_water_max,aug_water_range,av_hrs_water_june_mintomax,av_hrs_water_july_mintomax,av_hrs_water_aug_mintomax,june_msd,july_msd,aug_msd,june_scp,july_scp,aug_scp,june_msf,july_msf,aug_msf,june_hsf,july_hsf,aug_hsf,june_sei,july_sei,aug_sei,mean_season_ph,veg_abs_change,veg_percent_change,veg_mean_cover,veg_rate_per_event,slope_per_day,slope_per_week,veg_mean_cover_july.x,slope_per_day_log,log_area,veg_mean_cover_july.y,veg_mean_cover_july,drought_class,,,
QED,1625.648048,17,92.11,-0.6718182,17,276.360168,5.2143428,-0.06932602,0.4262614,17.9633867,9.9706745,38.558352,48.596565,15.68697,18.98244,3.29546436,19.69919,20.82887,1.12968083,19.42787,NA,NA,10.9706,21.7941,10.8235,13.1774,28.371,15.1936,14.3846,27.4038,13.0192,7.4706,5.6559,6.8846,14.7,26.46,11.76,15.4375,34.75,19.3125,NA,NA,NA,7.8,7,NA,6.996,7.396,8.77,95.948,98.943,99.992,0.649,0.689,0.807,0.399,0.436,0.586,0.753,0.683,0.483,6.5,53.81066,2304.488,24.49468,17.93689,0.8630477,6.041334,13.94435,0.622213695,7.393661814,13.94435,13.94435,dryout,,,
RUP,401.653235,63,84.35,-0.1867495,10,40.165323,0.8033065,-0.76829606,-0.2591841,23.3118971,43.1528662,52.572347,37.154989,16.46895,17.78137,1.31241351,19.33502,19.99189,0.6568652,18.53749,19.08214,0.54464918,12.1296,23.9444,11.8148,13.5968,30.3871,16.7903,14.9091,26.2273,11.3182,9.1235,8.2968,8.5873,16.6591,21.1136,4.4545,17.3548,24.129,6.7742,17.3636,21.7045,4.3409,5.4848,6.5441,6.873,5.554,5.972,7.39,100,100,100,0.376,0.448,0.755,0.11,0.14,0.281,0.489,0.581,0.745,6.5,4.010168,4.294809,95.71225,1.336723,0.0591035,0.4137245,95.15545,0.057422796,5.995589117,95.15545,95.15545,refill,,,
SCT,10140.75301,72,2433.78,-0.8583333,11,1115.482831,42.9031858,0.52295027,-0.1612633,14.9413565,44.3176415,73.278939,45.363766,17.20415,20.20456,3.00041468,19.70485,22.67825,2.97339708,18.79555,19.70128,0.90573411,13.4038,23.3269,9.9231,14.6129,27.3387,12.7258,15.4773,24.2045,8.7272,7.4487,6.1183,7.4545,19.0192,22.5,3.4808,21.625,25.0625,3.4375,19.375,20.375,1,6.3718,6.7979,3.25,6.233,6.577,7.634,99.988,99.993,99.999,0.542,0.581,0.709,0.238,0.268,0.37,0.787,0.769,0.667,6.333,14.06365,200.461,13.62099,4.687883,0.1850841,1.295589,11.13489,0.169813743,9.224317536,11.13489,11.13489,stable,,,
TRT,39891.52249,42,5584.81,-0.1916376,6,2393.491349,49.8644031,-1.20242198,-0.6508672,10.2139685,10.1171657,46.911587,41.045192,17.3232,20.72218,3.39897889,20.29138,25.47411,5.18273593,19.39043,23.46601,4.07557956,12.7885,23.6346,10.8461,14.6613,28.6935,14.0322,15.5,25.9318,10.4318,9.5385,10.5215,8.803,18.6667,23.5556,4.8889,22.5,29.5833,7.0833,21.5227,26.3409,4.8182,6.7778,5.7778,6.5152,1.004,1.103,1.552,28.419,32.722,53.753,0.063,0.067,0.082,0.031,0.035,0.045,0.145,0.161,0.258,6.417,0.2699426,1.308753,20.82839,0.08998085,0.003885149,0.02719604,20.8059,0.003877621,10.59391911,20.8059,20.8059,stable,,,
VAN,4680.135181,64,998.43,-0.435404,33,1544.44461,19.0672174,0.4322497,1.9929939,1.2259194,18.7083187,7.705779,10.705511,17.27506,22.73182,5.45676255,20.11171,23.90282,3.7911044,19.58371,21.0559,1.47219167,13.7759,21.4483,7.6724,15.4677,25.4194,9.9517,16.1739,24.6087,8.4348,9.9626,6.6204,7.3493,19.8793,26.3966,6.5173,18.56,31.64,13.08,15.25,30.75,15.5,8.3017,6.9947,7.0417,1.411,1.53,2.209,55.969,61.205,85.995,0.054,0.059,0.08,0.021,0.023,0.035,0.272,0.296,0.357,6.5,39.81399,11484.79,21.74146,13.27133,0.5534448,3.874114,15.60173,0.440474917,8.451082273,15.60173,15.60173,stable,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ý
